iter	Passed	Remaining
0	943	942697
1	2097	1046729
2	3065	1018756
3	3788	943352
4	4644	924307
5	5463	905160
6	6259	888023
7	7050	874223
8	7744	852781
9	8492	840761
10	9246	831343
11	10135	834501
12	10828	822156
13	11602	817123
14	12532	822968
15	13416	825086
16	14340	829241
17	15150	826524
18	16047	828563
19	16721	819342
20	17501	815888
21	18333	815006
22	19269	818549
23	20225	822502
24	20864	813732
25	21758	815107
26	22902	825339
27	23695	822571
28	24610	824012
29	25567	826684
30	26482	827798
31	27255	824483
32	28285	828852
33	29266	831503
34	30074	829207
35	31130	833605
36	32090	835218
37	32989	835149
38	33684	830011
39	34583	830004
40	35514	830702
41	36479	832076
42	37377	831868
43	38225	830542
44	38992	827516
45	39900	827503
46	40710	825460
47	41724	827541
48	42698	828699
49	43405	824696
50	44248	823366
51	45073	821721
52	46138	824390
53	47146	825931
54	48064	825835
55	48923	824706
56	49741	822913
57	50643	822515
58	51330	818671
59	52374	820527
60	53210	819089
61	54116	818733
62	54808	815168
63	55496	811641
64	56470	812303
65	57472	813319
66	58427	813619
67	59363	813631
68	60392	814859
69	61408	815854
70	62209	813974
71	63081	813055
72	63898	811426
73	64679	809371
74	65528	808189
75	66269	805699
76	67202	805551
77	68219	806391
78	69119	805808
79	69851	803286
80	70711	802269
81	71567	801210
82	72449	800435
83	73384	800240
84	74384	800722
85	75263	799896
86	76145	799091
87	76974	797730
88	77761	795958
89	78613	794870
90	79540	794533
91	80387	793389
92	81351	793397
93	82156	791853
94	83039	791064
95	83994	790948
96	84967	790987
97	85741	789174
98	86645	788557
99	87548	787937
100	88537	788070
101	89283	786041
102	90227	785765
103	90956	783621
104	91753	782089
105	92476	779946
106	93419	779661
107	94450	780093
108	95432	780092
109	96197	778321
110	97031	777129
111	98095	777757
112	99074	777691
113	99861	776113
114	100689	774872
115	101544	773837
116	102446	773162
117	103396	772848
118	104368	772679
119	105105	770774
120	106082	770629
121	106932	769560
122	107746	768244
